RedFighter,BlueFighter,Winner
Rafael Fiziev,Mateusz Gamrot,Blue
Bryce Mitchell,Dan Ige,Red
Marina Rodriguez,Michelle Waterson-Gomez,Red
Bryan Battle,AJ Fletcher,Red
Ricardo Ramos,Charles Jourdain,Blue
Tim Means,Andre Fialho,Red
Jacob Malkoun,Cody Brundage,Blue
Mohammed Usman,Jake Collier,Red
Mizuki,Hannah Goldy,Red
Tamires Vidal,Montserrat Rendon,Blue
Rafael Fiziev,Mateusz Gamrot,Blue
Bryce Mitchell,Dan Ige,Red
Marina Rodriguez,Michelle Waterson-Gomez,Red
Bryan Battle,AJ Fletcher,Red
Ricardo Ramos,Charles Jourdain,Blue
Tim Means,Andre Fialho,Red
Jacob Malkoun,Cody Brundage,Blue
Mohammed Usman,Jake Collier,Red
Mizuki,Hannah Goldy,Red
Tamires Vidal,Montserrat Rendon,Blue
Kevin Holland,Jack Della Maddalena,Blue
Raul Rosas Jr.,Terrence Mitchell,Red
Daniel Zellhuber,Christos Giagos,Red
Fernando Padilla,Kyle Nelson,Blue
Loopy Godinez,Elise Reed,Red
Roman Kopylov,Josh Fremd,Red
Tracy Cortez,Jasmine Jasudavicius,Red
Alex Reyes,Charlie Campbell,Blue
Josefine Knutsson,Marnic Mann,Red
Kevin Holland,Jack Della Maddalena,Blue
Raul Rosas Jr.,Terrence Mitchell,Red
Daniel Zellhuber,Christos Giagos,Red
Fernando Padilla,Kyle Nelson,Blue
Loopy Godinez,Elise Reed,Red
Roman Kopylov,Josh Fremd,Red
Tracy Cortez,Jasmine Jasudavicius,Red
Alex Reyes,Charlie Campbell,Blue
Josefine Knutsson,Marnic Mann,Red
Kevin Holland,Jack Della Maddalena,Blue
Raul Rosas Jr.,Terrence Mitchell,Red
Daniel Zellhuber,Christos Giagos,Red
Fernando Padilla,Kyle Nelson,Blue
Loopy Godinez,Elise Reed,Red
Roman Kopylov,Josh Fremd,Red
Tracy Cortez,Jasmine Jasudavicius,Red
Alex Reyes,Charlie Campbell,Blue
Josefine Knutsson,Marnic Mann,Red
Kevin Holland,Jack Della Maddalena,Blue
Raul Rosas Jr.,Terrence Mitchell,Red
Daniel Zellhuber,Christos Giagos,Red
Fernando Padilla,Kyle Nelson,Blue
Loopy Godinez,Elise Reed,Red
Roman Kopylov,Josh Fremd,Red
Tracy Cortez,Jasmine Jasudavicius,Red
Alex Reyes,Charlie Campbell,Blue
Josefine Knutsson,Marnic Mann,Red
Kevin Holland,Jack Della Maddalena,Blue
Raul Rosas Jr.,Terrence Mitchell,Red
Daniel Zellhuber,Christos Giagos,Red
Fernando Padilla,Kyle Nelson,Blue
Loopy Godinez,Elise Reed,Red
Roman Kopylov,Josh Fremd,Red
Tracy Cortez,Jasmine Jasudavicius,Red
Alex Reyes,Charlie Campbell,Blue
Josefine Knutsson,Marnic Mann,Red
Kevin Holland,Jack Della Maddalena,Blue
Raul Rosas Jr.,Terrence Mitchell,Red
Daniel Zellhuber,Christos Giagos,Red
Fernando Padilla,Kyle Nelson,Blue
Loopy Godinez,Elise Reed,Red
Roman Kopylov,Josh Fremd,Red
Tracy Cortez,Jasmine Jasudavicius,Red
Alex Reyes,Charlie Campbell,Blue
Josefine Knutsson,Marnic Mann,Red
Kevin Holland,Jack Della Maddalena,Blue
Raul Rosas Jr.,Terrence Mitchell,Red
Daniel Zellhuber,Christos Giagos,Red
Fernando Padilla,Kyle Nelson,Blue
Loopy Godinez,Elise Reed,Red
Roman Kopylov,Josh Fremd,Red
Tracy Cortez,Jasmine Jasudavicius,Red
Alex Reyes,Charlie Campbell,Blue
Josefine Knutsson,Marnic Mann,Red
Israel Adesanya,Sean Strickland,Blue
Tai Tuivasa,Alexander Volkov,Blue
Manel Kape,Felipe dos Santos,Red
Justin Tafa,Austen Lane,Red
Tyson Pedro,Anton Turkalj,Red
Carlos Ulberg,Da Woon Jung,Red
Jack Jenkins,Chepe Mariscal,Blue
Jamie Mullarkey,John Makdessi,Red
Nasrat Haqparast,Landon Quinones,Red
Blood Diamond,Charles Radtke,Blue
Shane Young,Gabriel Miranda,Blue
Kevin Jousset,Kiefer Crosbie,Red
Israel Adesanya,Sean Strickland,Blue
Tai Tuivasa,Alexander Volkov,Blue
Manel Kape,Felipe dos Santos,Red
Justin Tafa,Austen Lane,Red
Tyson Pedro,Anton Turkalj,Red
Carlos Ulberg,Da Woon Jung,Red
Jack Jenkins,Chepe Mariscal,Blue
Jamie Mullarkey,John Makdessi,Red
Nasrat Haqparast,Landon Quinones,Red
Blood Diamond,Charles Radtke,Blue
Shane Young,Gabriel Miranda,Blue
Kevin Jousset,Kiefer Crosbie,Red
Israel Adesanya,Sean Strickland,Blue
Tai Tuivasa,Alexander Volkov,Blue
Manel Kape,Felipe dos Santos,Red
Justin Tafa,Austen Lane,Red
Tyson Pedro,Anton Turkalj,Red
Carlos Ulberg,Da Woon Jung,Red
Jack Jenkins,Chepe Mariscal,Blue
Jamie Mullarkey,John Makdessi,Red
Nasrat Haqparast,Landon Quinones,Red
Blood Diamond,Charles Radtke,Blue
Shane Young,Gabriel Miranda,Blue
Kevin Jousset,Kiefer Crosbie,Red
Israel Adesanya,Sean Strickland,Blue
Tai Tuivasa,Alexander Volkov,Blue
Manel Kape,Felipe dos Santos,Red
Justin Tafa,Austen Lane,Red
Tyson Pedro,Anton Turkalj,Red
Carlos Ulberg,Da Woon Jung,Red
Jack Jenkins,Chepe Mariscal,Blue
Jamie Mullarkey,John Makdessi,Red
Nasrat Haqparast,Landon Quinones,Red
Blood Diamond,Charles Radtke,Blue
Shane Young,Gabriel Miranda,Blue
Kevin Jousset,Kiefer Crosbie,Red
Israel Adesanya,Sean Strickland,Blue
Tai Tuivasa,Alexander Volkov,Blue
Manel Kape,Felipe dos Santos,Red
Justin Tafa,Austen Lane,Red
Tyson Pedro,Anton Turkalj,Red
Carlos Ulberg,Da Woon Jung,Red
Jack Jenkins,Chepe Mariscal,Blue
Jamie Mullarkey,John Makdessi,Red
Nasrat Haqparast,Landon Quinones,Red
Blood Diamond,Charles Radtke,Blue
Shane Young,Gabriel Miranda,Blue
Kevin Jousset,Kiefer Crosbie,Red
Israel Adesanya,Sean Strickland,Blue
Tai Tuivasa,Alexander Volkov,Blue
Manel Kape,Felipe dos Santos,Red
Justin Tafa,Austen Lane,Red
Tyson Pedro,Anton Turkalj,Red
Carlos Ulberg,Da Woon Jung,Red
Jack Jenkins,Chepe Mariscal,Blue
Jamie Mullarkey,John Makdessi,Red
Nasrat Haqparast,Landon Quinones,Red
Blood Diamond,Charles Radtke,Blue
Shane Young,Gabriel Miranda,Blue
Kevin Jousset,Kiefer Crosbie,Red
Israel Adesanya,Sean Strickland,Blue
Tai Tuivasa,Alexander Volkov,Blue
Manel Kape,Felipe dos Santos,Red
Justin Tafa,Austen Lane,Red
Tyson Pedro,Anton Turkalj,Red
Carlos Ulberg,Da Woon Jung,Red
Jack Jenkins,Chepe Mariscal,Blue
Jamie Mullarkey,John Makdessi,Red
Nasrat Haqparast,Landon Quinones,Red
Blood Diamond,Charles Radtke,Blue
Shane Young,Gabriel Miranda,Blue
Kevin Jousset,Kiefer Crosbie,Red
Ciryl Gane,Serghei Spivac,Red
Manon Fiorot,Rose Namajunas,Red
Benoit Saint Denis,Thiago Moises,Red
Volkan Oezdemir,Bogdan Guskov,Red
William Gomis,Yanis Ghemmouri,Red
Morgan Charriere,Manolo Zecchini,Red
Taylor Lapilus,Caolan Loughran,Red
Ange Loosa,Rhys McKee,Red
Nora Cornolle,Joselyne Edwards,Red
Farid Basharat,Kleydson Rodrigues,Red
Zarah Fairn,Jacqueline Cavalcanti,Blue
Ciryl Gane,Serghei Spivac,Red
Manon Fiorot,Rose Namajunas,Red
Benoit Saint Denis,Thiago Moises,Red
Volkan Oezdemir,Bogdan Guskov,Red
William Gomis,Yanis Ghemmouri,Red
Morgan Charriere,Manolo Zecchini,Red
Taylor Lapilus,Caolan Loughran,Red
Ange Loosa,Rhys McKee,Red
Nora Cornolle,Joselyne Edwards,Red
Farid Basharat,Kleydson Rodrigues,Red
Zarah Fairn,Jacqueline Cavalcanti,Blue
Ciryl Gane,Serghei Spivac,Red
Manon Fiorot,Rose Namajunas,Red
Benoit Saint Denis,Thiago Moises,Red
Volkan Oezdemir,Bogdan Guskov,Red
William Gomis,Yanis Ghemmouri,Red
Morgan Charriere,Manolo Zecchini,Red
Taylor Lapilus,Caolan Loughran,Red
Ange Loosa,Rhys McKee,Red
Nora Cornolle,Joselyne Edwards,Red
Farid Basharat,Kleydson Rodrigues,Red
Zarah Fairn,Jacqueline Cavalcanti,Blue
Ciryl Gane,Serghei Spivac,Red
Manon Fiorot,Rose Namajunas,Red
Benoit Saint Denis,Thiago Moises,Red
Volkan Oezdemir,Bogdan Guskov,Red
William Gomis,Yanis Ghemmouri,Red
Morgan Charriere,Manolo Zecchini,Red
Taylor Lapilus,Caolan Loughran,Red
Ange Loosa,Rhys McKee,Red
Nora Cornolle,Joselyne Edwards,Red
Farid Basharat,Kleydson Rodrigues,Red
Zarah Fairn,Jacqueline Cavalcanti,Blue
Ciryl Gane,Serghei Spivac,Red
Manon Fiorot,Rose Namajunas,Red
Benoit Saint Denis,Thiago Moises,Red
Volkan Oezdemir,Bogdan Guskov,Red
William Gomis,Yanis Ghemmouri,Red
Morgan Charriere,Manolo Zecchini,Red
Taylor Lapilus,Caolan Loughran,Red
Ange Loosa,Rhys McKee,Red
Nora Cornolle,Joselyne Edwards,Red
Farid Basharat,Kleydson Rodrigues,Red
Zarah Fairn,Jacqueline Cavalcanti,Blue
Ciryl Gane,Serghei Spivac,Red
Manon Fiorot,Rose Namajunas,Red
Benoit Saint Denis,Thiago Moises,Red
Volkan Oezdemir,Bogdan Guskov,Red
William Gomis,Yanis Ghemmouri,Red
Morgan Charriere,Manolo Zecchini,Red
Taylor Lapilus,Caolan Loughran,Red
Ange Loosa,Rhys McKee,Red
Nora Cornolle,Joselyne Edwards,Red
Farid Basharat,Kleydson Rodrigues,Red
Zarah Fairn,Jacqueline Cavalcanti,Blue
Ciryl Gane,Serghei Spivac,Red
Manon Fiorot,Rose Namajunas,Red
Benoit Saint Denis,Thiago Moises,Red
Volkan Oezdemir,Bogdan Guskov,Red
William Gomis,Yanis Ghemmouri,Red
Morgan Charriere,Manolo Zecchini,Red
Taylor Lapilus,Caolan Loughran,Red
Ange Loosa,Rhys McKee,Red
Nora Cornolle,Joselyne Edwards,Red
Farid Basharat,Kleydson Rodrigues,Red
Zarah Fairn,Jacqueline Cavalcanti,Blue
Max Holloway,Chan Sung Jung,Red
Anthony Smith,Ryan Spann,Red
Giga Chikadze,Alex Caceres,Red
Rinya Nakamura,Fernie Garcia,Red
Erin Blanchfield,Taila Santos,Red
Junior Tafa,Parker Porter,Red
Waldo Cortes-Acosta,Lukasz Brzeski,Red
Toshiomi Kazama,Garrett Armfield,Blue
Chidi Njokuani,Michal Oleksiejczuk,Blue
Song Kenan,Rolando Bedoya,Red
Billy Ray Goff,Yusaku Kinoshita,Red
Liang Na,JJ Aldrich,Blue
SeungWoo Choi,Jarno Errens,Red
Max Holloway,Chan Sung Jung,Red
Anthony Smith,Ryan Spann,Red
Giga Chikadze,Alex Caceres,Red
Rinya Nakamura,Fernie Garcia,Red
Erin Blanchfield,Taila Santos,Red
Junior Tafa,Parker Porter,Red
Waldo Cortes-Acosta,Lukasz Brzeski,Red
Toshiomi Kazama,Garrett Armfield,Blue
Chidi Njokuani,Michal Oleksiejczuk,Blue
Song Kenan,Rolando Bedoya,Red
Billy Ray Goff,Yusaku Kinoshita,Red
Liang Na,JJ Aldrich,Blue
SeungWoo Choi,Jarno Errens,Red
Max Holloway,Chan Sung Jung,Red
Anthony Smith,Ryan Spann,Red
Giga Chikadze,Alex Caceres,Red
Rinya Nakamura,Fernie Garcia,Red
Erin Blanchfield,Taila Santos,Red
Junior Tafa,Parker Porter,Red
Waldo Cortes-Acosta,Lukasz Brzeski,Red
Toshiomi Kazama,Garrett Armfield,Blue
Chidi Njokuani,Michal Oleksiejczuk,Blue
Song Kenan,Rolando Bedoya,Red
Billy Ray Goff,Yusaku Kinoshita,Red
Liang Na,JJ Aldrich,Blue
SeungWoo Choi,Jarno Errens,Red
Max Holloway,Chan Sung Jung,Red
Anthony Smith,Ryan Spann,Red
Giga Chikadze,Alex Caceres,Red
Rinya Nakamura,Fernie Garcia,Red
Erin Blanchfield,Taila Santos,Red
Junior Tafa,Parker Porter,Red
Waldo Cortes-Acosta,Lukasz Brzeski,Red
Toshiomi Kazama,Garrett Armfield,Blue
Chidi Njokuani,Michal Oleksiejczuk,Blue
Song Kenan,Rolando Bedoya,Red
Billy Ray Goff,Yusaku Kinoshita,Red
Liang Na,JJ Aldrich,Blue
SeungWoo Choi,Jarno Errens,Red
Max Holloway,Chan Sung Jung,Red
Anthony Smith,Ryan Spann,Red
Giga Chikadze,Alex Caceres,Red
Rinya Nakamura,Fernie Garcia,Red
Erin Blanchfield,Taila Santos,Red
Junior Tafa,Parker Porter,Red
Waldo Cortes-Acosta,Lukasz Brzeski,Red
Toshiomi Kazama,Garrett Armfield,Blue
Chidi Njokuani,Michal Oleksiejczuk,Blue
Song Kenan,Rolando Bedoya,Red
Billy Ray Goff,Yusaku Kinoshita,Red
Liang Na,JJ Aldrich,Blue
SeungWoo Choi,Jarno Errens,Red
Max Holloway,Chan Sung Jung,Red
Anthony Smith,Ryan Spann,Red
Giga Chikadze,Alex Caceres,Red
Rinya Nakamura,Fernie Garcia,Red
Erin Blanchfield,Taila Santos,Red
Junior Tafa,Parker Porter,Red
Waldo Cortes-Acosta,Lukasz Brzeski,Red
Toshiomi Kazama,Garrett Armfield,Blue
Chidi Njokuani,Michal Oleksiejczuk,Blue
Song Kenan,Rolando Bedoya,Red
Billy Ray Goff,Yusaku Kinoshita,Red
Liang Na,JJ Aldrich,Blue
SeungWoo Choi,Jarno Errens,Red
Max Holloway,Chan Sung Jung,Red
Anthony Smith,Ryan Spann,Red
Giga Chikadze,Alex Caceres,Red
Rinya Nakamura,Fernie Garcia,Red
Erin Blanchfield,Taila Santos,Red
Junior Tafa,Parker Porter,Red
Waldo Cortes-Acosta,Lukasz Brzeski,Red
Toshiomi Kazama,Garrett Armfield,Blue
Chidi Njokuani,Michal Oleksiejczuk,Blue
Song Kenan,Rolando Bedoya,Red
Billy Ray Goff,Yusaku Kinoshita,Red
Liang Na,JJ Aldrich,Blue
SeungWoo Choi,Jarno Errens,Red
Aljamain Sterling,Sean O'Malley,Blue
Zhang Weili,Amanda Lemos,Red
Neil Magny,Ian Machado Garry,Blue
Da'Mon Blackshear,Mario Bautista,Blue
Marlon Vera,Pedro Munhoz,Red
Chris Weidman,Brad Tavares,Blue
Gregory Rodrigues,Denis Tiuliulin,Red
Kurt Holobaugh,Austin Hubbard,Red
Brad Katona,Cody Gibson,Red
Andre Petroski,Gerald Meerschaert,Red
Andrea Lee,Natalia Silva,Blue
Karine Silva,Maryna Moroz,Red
Aljamain Sterling,Sean O'Malley,Blue
Zhang Weili,Amanda Lemos,Red
Neil Magny,Ian Machado Garry,Blue
Da'Mon Blackshear,Mario Bautista,Blue
Marlon Vera,Pedro Munhoz,Red
Chris Weidman,Brad Tavares,Blue
Gregory Rodrigues,Denis Tiuliulin,Red
Kurt Holobaugh,Austin Hubbard,Red
Brad Katona,Cody Gibson,Red
Andre Petroski,Gerald Meerschaert,Red
Andrea Lee,Natalia Silva,Blue
Karine Silva,Maryna Moroz,Red
Aljamain Sterling,Sean O'Malley,Blue
Zhang Weili,Amanda Lemos,Red
Neil Magny,Ian Machado Garry,Blue
Da'Mon Blackshear,Mario Bautista,Blue
Marlon Vera,Pedro Munhoz,Red
Chris Weidman,Brad Tavares,Blue
Gregory Rodrigues,Denis Tiuliulin,Red
Kurt Holobaugh,Austin Hubbard,Red
Brad Katona,Cody Gibson,Red
Andre Petroski,Gerald Meerschaert,Red
Andrea Lee,Natalia Silva,Blue
Karine Silva,Maryna Moroz,Red
Aljamain Sterling,Sean O'Malley,Blue
Zhang Weili,Amanda Lemos,Red
Neil Magny,Ian Machado Garry,Blue
Da'Mon Blackshear,Mario Bautista,Blue
Marlon Vera,Pedro Munhoz,Red
Chris Weidman,Brad Tavares,Blue
Gregory Rodrigues,Denis Tiuliulin,Red
Kurt Holobaugh,Austin Hubbard,Red
Brad Katona,Cody Gibson,Red
Andre Petroski,Gerald Meerschaert,Red
Andrea Lee,Natalia Silva,Blue
Karine Silva,Maryna Moroz,Red
Aljamain Sterling,Sean O'Malley,Blue
Zhang Weili,Amanda Lemos,Red
Neil Magny,Ian Machado Garry,Blue
Da'Mon Blackshear,Mario Bautista,Blue
Marlon Vera,Pedro Munhoz,Red
Chris Weidman,Brad Tavares,Blue
Gregory Rodrigues,Denis Tiuliulin,Red
Kurt Holobaugh,Austin Hubbard,Red
Brad Katona,Cody Gibson,Red
Andre Petroski,Gerald Meerschaert,Red
Andrea Lee,Natalia Silva,Blue
Karine Silva,Maryna Moroz,Red
Aljamain Sterling,Sean O'Malley,Blue
Zhang Weili,Amanda Lemos,Red
Neil Magny,Ian Machado Garry,Blue
Da'Mon Blackshear,Mario Bautista,Blue
Marlon Vera,Pedro Munhoz,Red
Chris Weidman,Brad Tavares,Blue
Gregory Rodrigues,Denis Tiuliulin,Red
Kurt Holobaugh,Austin Hubbard,Red
Brad Katona,Cody Gibson,Red
Andre Petroski,Gerald Meerschaert,Red
Andrea Lee,Natalia Silva,Blue
Karine Silva,Maryna Moroz,Red
Aljamain Sterling,Sean O'Malley,Blue
Zhang Weili,Amanda Lemos,Red
Neil Magny,Ian Machado Garry,Blue
Da'Mon Blackshear,Mario Bautista,Blue
Marlon Vera,Pedro Munhoz,Red
Chris Weidman,Brad Tavares,Blue
Gregory Rodrigues,Denis Tiuliulin,Red
Kurt Holobaugh,Austin Hubbard,Red
Brad Katona,Cody Gibson,Red
Andre Petroski,Gerald Meerschaert,Red
Andrea Lee,Natalia Silva,Blue
Karine Silva,Maryna Moroz,Red
Vicente Luque,Rafael Dos Anjos,Red
Cub Swanson,Hakeem Dawodu,Red
Khalil Rountree Jr.,Chris Daukaus,Red
Polyana Viana,Iasmin Lucindo,Blue
AJ Dobson,Tafon Nchukwi,Red
Josh Fremd,Jamie Pickett,Red
JP Buys,Marcus McGhee,Blue
Terrance McKinney,Mike Breeden,Red
Francis Marshall,Isaac Dulgarian,Blue
Josh Parisian,Martin Buday,Blue
Jaqueline Amorim,Montserrat Conejo Ruiz,Red
Da'Mon Blackshear,Jose Johnson,Red
Juliana Miller,Luana Santos,Blue
Cory Sandhagen,Rob Font,Red
Jessica Andrade,Tatiana Suarez,Blue
Dustin Jacoby,Kennedy Nzechukwu,Red
Diego Lopes,Gavin Tucker,Red
Tanner Boser,Aleksa Camur,Red
Ignacio Bahamondes,Ludovit Klein,Blue
Kyler Phillips,Raoni Barcelos,Red
Jeremiah Wells,Carlston Harris,Blue
Billy Quarantillo,Damon Jackson,Red
Cody Durden,Jake Hadley,Red
Sean Woodson,Dennis Buzukja,Red
Ode Osbourne,Asu Almabayev,Blue
Dustin Poirier,Justin Gaethje,Blue
Jan Blachowicz,Alex Pereira,Blue
Derrick Lewis,Marcos Rogerio de Lima,Red
Tony Ferguson,King Green,Blue
Michael Chiesa,Kevin Holland,Blue
Gabriel Bonfim,Trevin Giles,Red
CJ Vergara,Vinicius Salvador,Red
Roman Kopylov,Claudio Ribeiro,Red
Jake Matthews,Darrius Flowers,Red
Matthew Semelsberger,Uros Medic,Blue
Miranda Maverick,Priscila Cachoeira,Red
Tom Aspinall,Marcin Tybura,Red
Molly McCann,Julija Stoliarenko,Blue
Nathaniel Wood,Andre Fili,Red
Paul Craig,Andre Muniz,Red
Jai Herbert,Fares Ziam,Blue
Lerone Murphy,Josh Culibao,Red
Davey Grant,Daniel Marcos,Blue
Danny Roberts,Jonny Parsons,Blue
Marc Diakiese,Joel Alvarez,Blue
Mick Parkin,Jamal Pogues,Red
Makhmud Muradov,Bryan Barberena,Red
Ketlen Vieira,Pannie Kianzad,Red
Chris Duncan,Yanal Ashmouz,Red
Shauna Bannon,Bruna Brasil,Blue
Jafel Filho,Daniel Barez,Red
Jack Della Maddalena,Bassil Hafez,Red
Ottman Azaitar,Francisco Prado,Blue
Albert Duraev,JunYong Park,Blue
Norma Dumont,Chelsea Chandler,Red
Nazim Sadykhov,Terrance McKinney,Red
Tucker Lutz,Melsik Baghdasaryan,Blue
Viktoriia Dudakova,Istela Nunes,Red
Austin Lingo,Melquizael Costa,Blue
Evan Elder,Genaro Valdez,Red
Tyson Nam,Azat Maksum,Blue
Alexander Munoz,Carl Deaton,Red
Ashlee Evans-Smith,Ailin Perez,Blue
Alexander Volkanovski,Yair Rodriguez,Red
Brandon Moreno,Alexandre Pantoja,Blue
Robert Whittaker,Dricus Du Plessis,Blue
Jalin Turner,Dan Hooker,Blue
Bo Nickal,Val Woodburn,Red
Robbie Lawler,Niko Price,Red
Tatsuro Taira,Edgar Chairez,Red
Yazmin Jauregui,Denise Gomes,Blue
Jimmy Crute,Alonzo Menifield,Blue
Vitor Petrino,Marcin Prachnio,Red
Cameron Saaiman,Terrence Mitchell,Red
Shannon Ross,Jesus Aguilar,Blue
Kamuela Kirk,Esteban Ribovics,Blue
Sean Strickland,Abus Magomedov,Red
Damir Ismagulov,Grant Dawson,Blue
Max Griffin,Michael Morales,Blue
Ariane da Silva,Melissa Gatto,Red
Ismael Bonfim,Benoit Saint Denis,Blue
Brunno Ferreira,Nursulton Ruziboev,Blue
Kevin Lee,Rinat Fakhretdinov,Blue
Joanderson Brito,Westin Wilson,Red
Yana Santos,Karol Rosa,Blue
Guram Kutateladze,Elves Brener,Blue
Ivana Petrovic,Luana Carolina,Blue
Alexandr Romanov,Blagoy Ivanov,Red
Josh Emmett,Ilia Topuria,Blue
Amanda Ribas,Maycee Barber,Blue
David Onama,Gabriel Santos,Red
Brendan Allen,Bruno Silva,Red
Neil Magny,Phil Rowe,Red
Randy Brown,Wellington Turman,Red
Mateusz Rebecki,Loik Radzhabov,Red
Tabatha Ricci,Gillian Robertson,Red
Zhalgas Zhumagulov,Joshua Van,Blue
Trevor Peek,Chepe Mariscal,Blue
Jamall Emmers,Jack Jenkins,Blue
Cody Brundage,Sedriques Dumas,Blue
Marvin Vettori,Jared Cannonier,Blue
Arman Tsarukyan,Joaquim Silva,Red
Armen Petrosyan,Christian Leroy Duncan,Red
Pat Sabatini,Lucas Almeida,Red
Manuel Torres,Nikolas Motta,Red
Nicolas Dalby,Muslim Salikhov,Red
Jimmy Flick,Alessandro Costa,Blue
Kyung Ho Kang,Cristian Quinonez,Red
Carlos Hernandez,Denys Bondar,Red
Tereza Bleda,Gabriella Fernandes,Red
Zac Pauga,Modestas Bukauskas,Blue
Amanda Nunes,Irene Aldana,Red
Charles Oliveira,Beneil Dariush,Red
Mike Malott,Adam Fugitt,Red
Dan Ige,Nate Landwehr,Red
Marc-Andre Barriault,Eryk Anders,Red
Miranda Maverick,Jasmine Jasudavicius,Blue
Aiemann Zahabi,Aoriqileng,Red
Kyle Nelson,Blake Bilder,Red
David Dvorak,Steve Erceg,Blue
Diana Belbita,Maria Oliveira,Red
Kai Kara-France,Amir Albazi,Blue
Alex Caceres,Daniel Pineda,Red
Jim Miller,Jesse Butler,Red
Tim Elliott,Victor Altamirano,Red
Karine Silva,Ketlen Souza,Red
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,Blue
Daniel Santos,Johnny Munoz,Red
Andrei Arlovski,Don'Tale Mayes,Blue
John Castaneda,Muin Gafurov,Red
Jamie Mullarkey,Muhammad Naimov,Blue
Elise Reed,Jinh Yu Frey,Red
Da'Mon Blackshear,Luan Lacerda,Red
Philipe Lins,Maxim Grishin,Red
Mackenzie Dern,Angela Hill,Red
Edmen Shahbazyan,Anthony Hernandez,Blue
Emily Ducote,Loopy Godinez,Blue
Andre Fialho,Joaquin Buckley,Blue
Diego Ferreira,Michael Johnson,Red
Maheshate,Viacheslav Borshchev,Blue
Karolina Kowalkiewicz,Vanessa Demopoulos,Red
Orion Cosce,Gilbert Urbina,Blue
Ilir Latifi,Rodrigo Nascimento,Blue
Chase Hooper,Nick Fiore,Red
Natalia Silva,Victoria Leonardo,Red
Takashi Sato,Themba Gorimbo,Blue
Jairzinho Rozenstruik,Jailton Almeida,Blue
Anthony Smith,Johnny Walker,Blue
Daniel Rodriguez,Ian Machado Garry,Blue
Carlos Ulberg,Ihor Potieria,Red
Tim Means,Alex Morono,Blue
Matt Brown,Court McGee,Red
Karl Williams,Chase Sherman,Red
Cody Stamann,Douglas Silva de Andrade,Blue
Ji Yeon Kim,Mandy Bohm,Blue
Bryan Battle,Gabe Green,Red
Jessica-Rose Clark,Tainara Lisboa,Blue
Aljamain Sterling,Henry Cejudo,Red
Belal Muhammad,Gilbert Burns,Red
Jessica Andrade,Yan Xiaonan,Blue
Movsar Evloev,Diego Lopes,Red
Kron Gracie,Charles Jourdain,Blue
Drew Dober,Matt Frevola,Blue
Kennedy Nzechukwu,Devin Clark,Red
Khaos Williams,Rolando Bedoya,Red
Marina Rodriguez,Virna Jandiroba,Blue
Braxton Smith,Parker Porter,Blue
Phil Hawes,Ikram Aliskerov,Blue
Joseph Holmes,Claudio Ribeiro,Blue
Song Yadong,Ricky Simon,Red
Caio Borralho,Michal Oleksiejczuk,Red
Rodolfo Vieira,Cody Brundage,Red
Julian Erosa,Fernando Padilla,Blue
Marcos Rogerio de Lima,Waldo Cortes-Acosta,Red
Josh Quinlan,Trey Waters,Blue
Martin Buday,Jake Collier,Red
Cody Durden,Charles Johnson,Red
Stephanie Egger,Irina Alekseeva,Blue
Journey Newson,Marcus McGhee,Blue
Hailey Cowan,Jamey-Lyn Horth,Blue
Sergei Pavlovich,Curtis Blaydes,Red
Brad Tavares,Bruno Silva,Blue
Iasmin Lucindo,Brogan Walker,Red
Jeremiah Wells,Matthew Semelsberger,Red
Ricky Glenn,Christos Giagos,Blue
Rani Yahya,Montel Jackson,Blue
Karol Rosa,Norma Dumont,Blue
Mohammed Usman,Junior Tafa,Red
Francis Marshall,William Gomis,Blue
Brady Hiestand,Batgerel Danaa,Red
Max Holloway,Arnold Allen,Red
Edson Barboza,Billy Quarantillo,Red
Dustin Jacoby,Azamat Murzakanov,Blue
Tanner Boser,Ion Cutelaba,Blue
Pedro Munhoz,Chris Gutierrez,Red
Clay Guida,Rafa Garcia,Blue
Bill Algeo,TJ Brown,Red
Brandon Royval,Matheus Nicolau,Red
Zak Cummings,Ed Herman,Red
Gillian Robertson,Piera Rodriguez,Red
Lando Vannata,Daniel Zellhuber,Blue
Bruna Brasil,Denise Gomes,Blue
Aaron Phillips,Gaston Bolanos,Blue
Joselyne Edwards,Lucie Pudilova,Red
Alex Pereira,Israel Adesanya,Blue
Gilbert Burns,Jorge Masvidal,Red
Rob Font,Adrian Yanez,Red
Kevin Holland,Santiago Ponzinibbio,Red
Raul Rosas Jr.,Christian Rodriguez,Blue
Chris Curtis,Kelvin Gastelum,Blue
Michelle Waterson-Gomez,Luana Pinheiro,Blue
Gerald Meerschaert,Joe Pyfer,Blue
Cynthia Calvillo,Loopy Godinez,Blue
Ignacio Bahamondes,Trey Ogden,Red
Shayilan Nuerdanbieke,Steve Garcia,Blue
Jaqueline Amorim,Sam Hughes,Blue
Marlon Vera,Cory Sandhagen,Blue
Holly Holm,Yana Santos,Red
Nate Landwehr,Austin Lingo,Red
Andrea Lee,Maycee Barber,Blue
Chidi Njokuani,Albert Duraev,Blue
Daniel Pineda,Tucker Lutz,Red
Steven Peterson,Lucas Alexander,Blue
Trevin Giles,Preston Parsons,Red
CJ Vergara,Daniel Lacerda,Red
Victor Altamirano,Vinicius Salvador,Red
